sample_id	classification
TCGA-A7-A0DC-11A	Accelerated
TCGA-AC-A2FM-11B	Accelerated
TCGA-BH-A0B7-11A	Accelerated
TCGA-BH-A0BC-11A	Accelerated
TCGA-BH-A0BO-11A	Accelerated
TCGA-BH-A0BQ-11A	Accelerated
TCGA-BH-A0BV-11A	Accelerated
TCGA-BH-A0BW-11A	Accelerated
TCGA-BH-A0DO-11A	Accelerated
TCGA-BH-A0DQ-11A	Accelerated
TCGA-BH-A0H5-11A	Accelerated
TCGA-BH-A0H7-11A	Accelerated
TCGA-BH-A18N-11A	Accelerated
TCGA-BH-A18P-11A	Accelerated
TCGA-BH-A18S-11A	Accelerated
TCGA-BH-A1EU-11A	Accelerated
TCGA-BH-A1EY-11B	Accelerated
TCGA-BH-A1F2-11A	Accelerated
TCGA-BH-A1FC-11A	Accelerated
TCGA-BH-A1FG-11B	Accelerated
TCGA-BH-A1FN-11A	Accelerated
TCGA-BH-A1FR-11B	Accelerated
TCGA-BH-A208-11A	Accelerated
TCGA-BH-A209-11A	Accelerated
TCGA-E2-A153-11A	Accelerated
TCGA-E2-A1BC-11A	Accelerated
TCGA-E2-A1LS-11A	Accelerated
TCGA-E9-A1N6-11A	Accelerated
TCGA-E9-A1NA-11A	Accelerated
TCGA-E9-A1ND-11A	Accelerated
TCGA-E9-A1RC-11A	Accelerated
TCGA-A7-A0CE-11A	Decelerated
TCGA-AC-A2FB-11A	Decelerated
TCGA-BH-A0AU-11A	Decelerated
TCGA-BH-A0AY-11A	Decelerated
TCGA-BH-A0BF-11A	Decelerated
TCGA-BH-A0BL-11A	Decelerated
TCGA-BH-A0BM-11A	Decelerated
TCGA-BH-A0BS-11A	Decelerated
TCGA-BH-A0BT-11A	Decelerated
TCGA-BH-A0BZ-11A	Decelerated
TCGA-BH-A0C0-11A	Decelerated
TCGA-BH-A0C3-11A	Decelerated
TCGA-BH-A0DH-11A	Decelerated
TCGA-BH-A0DK-11A	Decelerated
TCGA-BH-A0DP-11A	Decelerated
TCGA-BH-A0E1-11A	Decelerated
TCGA-BH-A1ES-11A	Decelerated
TCGA-BH-A1ET-11B	Decelerated
TCGA-BH-A1EV-11A	Decelerated
TCGA-BH-A1EW-11B	Decelerated
TCGA-BH-A1F5-11A	Decelerated
TCGA-BH-A1F6-11B	Decelerated
TCGA-E2-A15I-11A	Decelerated
TCGA-E2-A15K-11A	Decelerated
TCGA-E9-A1N4-11A	Decelerated
TCGA-E9-A1N8-11A	Decelerated
TCGA-E9-A1NF-11A	Decelerated
TCGA-E9-A1NG-11A	Decelerated
TCGA-E9-A1R7-11A	Decelerated
TCGA-E9-A1RD-11A	Decelerated
TCGA-E9-A1RH-11A	Decelerated
