sample_id	classification
TCGA-A3-3308-11A	Accelerated
TCGA-A3-3320-11A	Accelerated
TCGA-A3-3322-11A	Accelerated
TCGA-A3-3325-11A	Accelerated
TCGA-A3-3328-11A	Accelerated
TCGA-A3-3329-11A	Accelerated
TCGA-A3-3331-11A	Accelerated
TCGA-A3-3336-11A	Accelerated
TCGA-A3-3343-11A	Accelerated
TCGA-A3-3347-11A	Accelerated
TCGA-A3-3359-11A	Accelerated
TCGA-A3-3363-11A	Accelerated
TCGA-A3-3365-11A	Accelerated
TCGA-A3-3380-11A	Accelerated
TCGA-A3-3382-11A	Accelerated
TCGA-B0-4688-11A	Accelerated
TCGA-B0-4697-11A	Accelerated
TCGA-B0-4813-11A	Accelerated
TCGA-B0-4814-11A	Accelerated
TCGA-B0-4817-11A	Accelerated
TCGA-B0-4828-11A	Accelerated
TCGA-B0-4833-11A	Accelerated
TCGA-B0-4836-11A	Accelerated
TCGA-B0-4837-11A	Accelerated
TCGA-B0-4839-11A	Accelerated
TCGA-B0-4844-11A	Accelerated
TCGA-B0-4945-11A	Accelerated
TCGA-B0-5081-11A	Accelerated
TCGA-B0-5104-11A	Accelerated
TCGA-B0-5119-11A	Accelerated
TCGA-B2-3924-11A	Accelerated
TCGA-BP-4158-11A	Accelerated
TCGA-BP-4170-11A	Accelerated
TCGA-BP-4173-11A	Accelerated
TCGA-BP-4325-11A	Accelerated
TCGA-BP-4327-11A	Accelerated
TCGA-BP-4337-11A	Accelerated
TCGA-BP-4343-11A	Accelerated
TCGA-BP-4347-11A	Accelerated
TCGA-BP-4349-11A	Accelerated
TCGA-BP-4759-11A	Accelerated
TCGA-BP-4768-11A	Accelerated
TCGA-BP-4774-11A	Accelerated
TCGA-BP-4775-11A	Accelerated
TCGA-BP-4781-11A	Accelerated
TCGA-BP-4787-11A	Accelerated
TCGA-BP-4789-11A	Accelerated
TCGA-BP-4797-11A	Accelerated
TCGA-BP-4798-11A	Accelerated
TCGA-BP-4803-11A	Accelerated
TCGA-BP-4964-11A	Accelerated
TCGA-BP-4967-11A	Accelerated
TCGA-BP-4970-11A	Accelerated
TCGA-BP-4974-11A	Accelerated
TCGA-BP-4976-11A	Accelerated
TCGA-BP-4977-11A	Accelerated
TCGA-BP-4986-11A	Accelerated
TCGA-BP-5008-11A	Accelerated
TCGA-BP-5009-11A	Accelerated
TCGA-BP-5176-11A	Accelerated
TCGA-BP-5183-11A	Accelerated
TCGA-BP-5186-11A	Accelerated
TCGA-CJ-4642-11A	Accelerated
TCGA-CJ-4868-11A	Accelerated
TCGA-CJ-4870-11A	Accelerated
TCGA-CJ-4873-11A	Accelerated
TCGA-CJ-4874-11A	Accelerated
TCGA-CJ-4875-11A	Accelerated
TCGA-CJ-4876-11A	Accelerated
TCGA-CJ-4878-11A	Accelerated
TCGA-CJ-4881-11A	Accelerated
TCGA-CJ-4882-11A	Accelerated
TCGA-CJ-4884-11A	Accelerated
TCGA-CJ-4887-11A	Accelerated
TCGA-CJ-4889-11A	Accelerated
TCGA-CJ-4892-11A	Accelerated
TCGA-CJ-4893-11A	Accelerated
TCGA-CJ-4894-11A	Accelerated
TCGA-CJ-4897-11A	Accelerated
TCGA-CJ-4912-11A	Accelerated
TCGA-CZ-4856-11A	Accelerated
TCGA-CZ-4857-11A	Accelerated
TCGA-CZ-4858-11A	Accelerated
TCGA-CZ-4860-11A	Accelerated
TCGA-CZ-4862-11A	Accelerated
TCGA-CZ-4863-11A	Accelerated
TCGA-CZ-4865-11A	Accelerated
TCGA-CZ-4866-11A	Accelerated
TCGA-CZ-5456-11A	Accelerated
TCGA-CZ-5466-11A	Accelerated
TCGA-A3-3335-11A	Decelerated
TCGA-A3-3351-11A	Decelerated
TCGA-A3-3357-11A	Decelerated
TCGA-A3-3367-11A	Decelerated
TCGA-A3-3383-11A	Decelerated
TCGA-B0-4691-11A	Decelerated
TCGA-B0-4706-11A	Decelerated
TCGA-B0-4710-11A	Decelerated
TCGA-B0-4712-11A	Decelerated
TCGA-B0-4811-11A	Decelerated
TCGA-B0-4822-11A	Decelerated
TCGA-B0-4824-11A	Decelerated
TCGA-B0-4827-11A	Decelerated
TCGA-B0-4834-11A	Decelerated
TCGA-B0-4845-11A	Decelerated
TCGA-B0-5080-11A	Decelerated
TCGA-B0-5083-11A	Decelerated
TCGA-B0-5084-11A	Decelerated
TCGA-B0-5088-11A	Decelerated
TCGA-B0-5100-11A	Decelerated
TCGA-B0-5107-11A	Decelerated
TCGA-B0-5109-11A	Decelerated
TCGA-B0-5117-11A	Decelerated
TCGA-B0-5400-11A	Decelerated
TCGA-B0-5402-11A	Decelerated
TCGA-B0-5711-11A	Decelerated
TCGA-B0-5713-11A	Decelerated
TCGA-B2-3923-11A	Decelerated
TCGA-B8-4154-11A	Decelerated
TCGA-BP-4159-11A	Decelerated
TCGA-BP-4163-11A	Decelerated
TCGA-BP-4164-11A	Decelerated
TCGA-BP-4165-11A	Decelerated
TCGA-BP-4167-11A	Decelerated
TCGA-BP-4326-11A	Decelerated
TCGA-BP-4329-11A	Decelerated
TCGA-BP-4330-11A	Decelerated
TCGA-BP-4331-11A	Decelerated
TCGA-BP-4334-11A	Decelerated
TCGA-BP-4341-11A	Decelerated
TCGA-BP-4354-11A	Decelerated
TCGA-BP-4758-11A	Decelerated
TCGA-BP-4760-11A	Decelerated
TCGA-BP-4762-11A	Decelerated
TCGA-BP-4769-11A	Decelerated
TCGA-BP-4782-11A	Decelerated
TCGA-BP-4959-11A	Decelerated
TCGA-BP-4961-11A	Decelerated
TCGA-BP-4965-11A	Decelerated
TCGA-BP-4971-11A	Decelerated
TCGA-BP-4973-11A	Decelerated
TCGA-BP-4975-11A	Decelerated
TCGA-BP-4982-11A	Decelerated
TCGA-BP-4983-11A	Decelerated
TCGA-BP-4988-11A	Decelerated
TCGA-BP-4992-11A	Decelerated
TCGA-BP-4993-11A	Decelerated
TCGA-BP-4999-11A	Decelerated
TCGA-BP-5006-11A	Decelerated
TCGA-BP-5007-11A	Decelerated
TCGA-BP-5010-11A	Decelerated
TCGA-BP-5169-11A	Decelerated
TCGA-BP-5175-11A	Decelerated
TCGA-BP-5184-11A	Decelerated
TCGA-BP-5185-11A	Decelerated
TCGA-BP-5189-11A	Decelerated
TCGA-BP-5195-11A	Decelerated
TCGA-BP-5196-11A	Decelerated
TCGA-CJ-4637-11A	Decelerated
TCGA-CJ-4639-11A	Decelerated
TCGA-CJ-4890-11A	Decelerated
TCGA-CJ-4900-11A	Decelerated
TCGA-CJ-4901-11A	Decelerated
TCGA-CJ-4902-11A	Decelerated
TCGA-CJ-4903-11A	Decelerated
TCGA-CJ-4908-11A	Decelerated
TCGA-CJ-4916-11A	Decelerated
TCGA-CZ-4864-11A	Decelerated
TCGA-CZ-5451-11A	Decelerated
TCGA-CZ-5454-11A	Decelerated
TCGA-CZ-5455-11A	Decelerated
TCGA-CZ-5457-11A	Decelerated
TCGA-CZ-5459-11A	Decelerated
TCGA-CZ-5460-11A	Decelerated
TCGA-CZ-5462-11A	Decelerated
TCGA-CZ-5463-11A	Decelerated
TCGA-CZ-5464-11A	Decelerated
TCGA-CZ-5467-11A	Decelerated
TCGA-CZ-5468-11A	Decelerated
TCGA-CZ-5470-11A	Decelerated
