sample_id	classification
TCGA-BC-A10T-11A	Accelerated
TCGA-BC-A112-11A	Accelerated
TCGA-DD-A1EC-11A	Accelerated
TCGA-DD-A1EH-11A	Accelerated
TCGA-DD-A39V-11A	Accelerated
TCGA-DD-A39W-11A	Accelerated
TCGA-DD-A39X-11A	Accelerated
TCGA-EP-A12J-11A	Accelerated
TCGA-ES-A2HS-11A	Accelerated
TCGA-ES-A2HT-11A	Accelerated
TCGA-BC-A216-11A	Decelerated
TCGA-BD-A2L6-11A	Decelerated
TCGA-DD-A114-11A	Decelerated
TCGA-DD-A115-11A	Decelerated
TCGA-DD-A118-11A	Decelerated
TCGA-DD-A1EI-11A	Decelerated
TCGA-DD-A1EL-11A	Decelerated
TCGA-G3-A25W-11A	Decelerated
