gene_id	TCGA-BC-A10T-11A-11R-A131-07	TCGA-DD-A1EC-11A-11R-A131-07	TCGA-DD-A1EH-11A-11R-A131-07	TCGA-DD-A39V-11A-11R-A213-07	TCGA-DD-A39W-11A-11R-A213-07	TCGA-DD-A39X-11A-11R-A213-07	TCGA-EP-A12J-11A-11R-A131-07	TCGA-ES-A2HT-11A-11R-A180-07	TCGA-BC-A216-11A-11R-A155-07	TCGA-BD-A2L6-11A-21R-A213-07	TCGA-DD-A114-11A-12R-A131-07	TCGA-DD-A118-11A-11R-A131-07	TCGA-DD-A1EI-11A-11R-A131-07	TCGA-DD-A1EL-11A-11R-A155-07
ENSG00000000003.15	3231	3414	5028	3519	5307	5590	2636	4842	4847	4199	5268	3008	6398	6294
ENSG00000000005.6	0	5	5	12	10	3	2	0	3	4	7	1	3	1
ENSG00000000419.13	693	819	834	723	998	846	756	1265	964	1063	1399	777	958	1609
ENSG00000000457.14	514	416	470	269	486	379	322	589	263	485	577	279	545	678
ENSG00000000460.17	49	466	75	182	74	144	46	85	113	100	95	82	140	128
ENSG00000000938.13	198	274	155	226	165	177	141	441	231	1476	630	195	245	350
ENSG00000000971.16	39539	102868	61345	69656	84074	80461	35683	82688	71089	54183	97822	40890	74000	106804
ENSG00000001036.14	1294	1538	1891	1322	1513	2168	1469	3297	1753	2104	2811	1213	2764	3145
ENSG00000001084.13	5181	4087	5080	3801	5203	4840	3283	3977	3151	5216	6148	4101	5718	6983
ENSG00000001167.14	424	415	392	300	365	358	275	831	448	755	601	261	545	618
ENSG00000001460.18	77	80	68	50	81	64	79	253	96	181	180	45	68	158
ENSG00000001461.17	117	435	189	197	312	405	277	441	292	550	529	151	341	490
ENSG00000001497.18	734	1080	1062	977	1362	1284	810	1482	1023	1298	1322	593	1612	1636
ENSG00000001561.7	407	745	415	478	549	499	410	902	630	523	1136	250	280	601
ENSG00000001617.12	252	348	287	332	473	201	218	359	250	344	462	216	531	493
ENSG00000001626.16	217	494	355	218	198	70	431	450	646	973	519	299	1511	1103
ENSG00000001629.10	502	892	581	512	741	776	580	1096	600	1138	1344	625	1067	1279
ENSG00000001630.17	132	85	45	83	174	140	187	79	35	27	191	138	301	225
ENSG00000001631.16	70	115	137	85	103	152	60	134	112	190	152	71	128	222
ENSG00000002016.18	83	196	148	93	180	177	93	178	115	286	179	119	204	252
ENSG00000002079.14	0	3	1	2	2	0	2	3	1	4	6	0	0	1
ENSG00000002330.14	224	185	282	312	374	265	246	368	275	189	352	229	431	485
ENSG00000002549.12	3841	9003	6063	8931	9966	8333	9018	27501	5472	8926	18985	4685	12553	13139
ENSG00000002586.20	4910	4507	7288	5606	6635	7266	5135	7229	5355	8171	8855	4102	7037	8568
ENSG00000002586.20_PAR_Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002587.10	44	54	59	40	34	19	53	112	27	104	41	27	64	74
ENSG00000002726.21	14	560	1	695	9	966	203	135	684	639	333	341	5	307
ENSG00000002745.13	2	1	2	2	28	1	1	2	3	4	1	2	0	0
ENSG00000002746.15	7	3	9	4	3	9	47	15	3	23	16	2	17	45
ENSG00000002822.15	8	23	36	14	38	41	18	13	18	49	21	30	47	51
ENSG00000002834.18	4366	5396	5009	3150	4828	4789	4639	7580	3476	7206	7043	3204	6870	6827
ENSG00000002919.15	372	507	501	408	597	580	440	981	402	1370	753	387	536	802
ENSG00000002933.9	31226	40084	32541	38764	42344	41505	19552	34814	25529	27299	33087	20969	45366	31026
ENSG00000003056.8	729	1521	646	1031	1230	1278	883	1897	794	2228	2033	807	1419	1747
ENSG00000003096.14	84	343	115	210	180	112	61	78	206	158	86	142	178	199
ENSG00000003137.8	9	73	43	49	181	28	55	30	46	126	170	82	92	250
ENSG00000003147.19	321	133	860	418	95	156	355	699	158	210	921	361	597	237
ENSG00000003249.15	140	201	914	115	123	266	256	1903	139	1076	667	74	281	1024
ENSG00000003393.15	819	1933	1220	848	2139	1348	1049	1343	989	1166	1617	785	2091	2917
ENSG00000003400.15	356	544	449	438	458	355	492	825	427	891	853	428	776	841
ENSG00000003402.20	1540	4164	2567	1964	3262	2665	1637	3498	2733	5210	3790	1726	3290	5451
ENSG00000003436.16	9597	15193	13959	7377	12509	16536	5949	10686	13439	11470	11559	6560	8517	12426
ENSG00000003509.16	243	371	337	383	381	474	195	397	348	487	411	269	556	679
ENSG00000003756.17	553	864	800	673	913	959	408	1217	737	2068	1390	469	1024	1215
ENSG00000003987.14	32	26	47	25	32	36	22	51	45	84	51	25	54	71
ENSG00000003989.18	15639	19080	14584	16415	16116	20437	9150	7516	25278	18501	23401	17924	27588	25792
ENSG00000004059.11	1381	1548	1740	1714	2195	2122	1597	3163	1629	2515	2569	1608	2538	2646
ENSG00000004139.14	19	94	40	33	51	54	30	64	36	124	56	39	70	70
ENSG00000004142.12	5611	7272	7932	6394	11229	9923	6240	11375	7854	7295	10355	5533	12476	11742
ENSG00000004399.13	880	2670	1318	1155	1535	1478	1379	1946	1148	5031	2142	716	2332	2912
ENSG00000004455.17	3728	4260	5216	3971	5747	5268	4807	7946	4255	5308	7866	3383	7023	8287
ENSG00000004468.13	141	385	144	138	126	120	343	391	334	1288	534	124	185	297
ENSG00000004478.8	2585	3032	3527	2803	4810	2802	1183	2894	2348	2614	2726	2028	4449	3548
ENSG00000004487.17	790	1119	959	801	1173	1320	801	1584	1012	1432	1525	599	1518	1468
ENSG00000004534.15	629	1279	1088	826	941	1194	515	1473	960	2294	1704	502	1049	1640
ENSG00000004660.15	29	78	43	20	51	73	14	76	50	172	119	24	98	89
ENSG00000004700.16	129	271	118	172	244	185	206	369	197	535	449	131	406	465
ENSG00000004766.17	255	442	378	302	448	378	245	689	371	609	621	226	486	598
ENSG00000004776.13	111	106	89	78	67	49	143	140	172	127	129	28	182	118
ENSG00000004777.18	30	77	72	48	38	84	30	136	38	163	130	29	80	62
ENSG00000004779.10	1681	1587	2548	2173	2534	2303	1840	2806	2136	2143	2659	1681	3098	3197
ENSG00000004799.8	874	23409	12183	11947	28834	6357	6550	4330	16445	10612	12526	6811	24346	15407
ENSG00000004809.14	0	0	0	0	1	0	1	0	0	1	3	1	0	2
ENSG00000004838.14	7	1	7	4	2	6	4	8	3	16	14	6	8	5
ENSG00000004846.16	0	0	0	0	0	0	0	0	1	3	0	0	0	1
ENSG00000004848.8	0	0	0	0	0	0	0	2	0	0	5	0	0	1
ENSG00000004864.14	4118	5423	6258	4493	10255	8680	4170	7258	4518	4248	7135	4334	11423	11267
ENSG00000004866.22	1205	1345	1730	1091	1609	1928	841	1493	1275	1486	1373	984	1930	2120
ENSG00000004897.12	1124	1315	1338	925	1078	1086	1025	1990	1248	1629	1876	1050	1686	2048
ENSG00000004939.15	43	5	2	9	2	1	8	2	149	16	11	3	3	2
ENSG00000004948.16	0	4	1	2	4	1	1	0	2	6	4	3	2	8
ENSG00000004961.15	635	514	642	545	590	777	661	1166	568	1210	937	510	770	1193
ENSG00000004975.12	259	376	303	263	352	515	260	392	214	577	427	133	500	556
ENSG00000005001.10	37	19	16	19	22	2	14	74	24	59	42	9	35	57
ENSG00000005007.13	2204	2600	2853	2752	3593	2647	2326	3358	2724	3422	3564	1396	3559	4138
ENSG00000005020.13	404	513	382	413	515	397	508	905	541	1175	1328	386	700	961
